made_by,accepted,offer_count,factor
1,1,3,1.502283105
0,0,2,0.407894737
1,0,1,3.076923077
1,0,1,3.333333333
0,0,1,0.565714286
0,0,1,0.22
0,0,2,0.431340109
1,1,1,0.884563758
1,0,1,12.12121212
0,0,2,0.140431508
1,0,1,3.333333333
0,0,1,0.234604106
0,0,1,1.119266055
0,0,1,0
0,1,2,0.921917589
1,0,1,1
1,0,1,1
1,0,1,2.971768202
1,0,1,3.295
0,0,1,0.441640379
1,0,1,1.515011547
0,0,1,0.118055556
0,0,1,0.783410138
0,0,2,0.691377921
0,0,2,1.242718447
0,0,1,0.244444444
1,0,1,3.123809524
1,1,1,3.225
1,0,1,2.661202186
1,0,1,7.474103586
1,0,1,1.351428571
0,0,1,1.219512195
0,0,2,0.194932901
1,1,1,2.384415584
0,0,1,0.855661193
0,0,2,0
1,1,1,3.998049732
1,0,1,4.096681688
1,0,1,2.102564103
0,1,1,0.37922403
0,0,1,1.448412698
0,0,1,0.447089947
0,1,1,0.562162162
0,0,2,0.948012232
0,0,1,0.194932901
1,0,1,0.927756654
0,0,2,0
0,1,1,0.607758621
0,0,2,0.634328358
0,0,2,0.194932901
1,0,1,3.13283208
1,0,1,2.262068966
0,0,2,0
1,0,1,6.677966102
0,0,1,0.194932901
0,0,1,0.641666667
0,0,2,0.52739726
1,0,1,1
0,0,2,0.194932901
1,0,1,2.857142857
0,0,1,1
1,0,1,1
0,0,2,0.267152761
1,0,1,2.771428571
0,0,2,0.267152761
0,0,1,0.846153846
1,1,1,7.283321194
1,0,1,4.903896104
0,1,1,0.76581576
1,1,1,1.25
0,0,1,0.267152761
1,1,1,1.725490196
0,0,1,0.271862256
1,0,1,1
0,0,2,0.267152761
0,0,1,0.251428571
0,0,2,0.78778135
0,0,2,0.150332798
0,0,2,0.267152761
1,0,1,0.965791802
1,0,1,2.064
0,0,2,0.124195552
0,0,1,0.251428571
1,0,1,12.57861635
0,0,2,0.219941349
0,0,1,0.611287891
0,1,1,0.551967117
0,0,1,1.254716981
1,0,1,0.285195748
0,0,2,0.494845361
0,0,1,0.167958656
0,0,2,0.302089552
1,0,1,2.900840336
0,0,1,0.223286407
1,0,1,9.039179104
0,0,1,0.035364847
1,1,1,1.875
1,0,1,7.407407407
0,1,2,0.1991551
1,0,1,0.896470588
0,0,2,0.267152761
1,0,1,1.531133829
1,0,5,1.43030303
0,0,1,0.049255166
0,0,1,0.427913101
0,0,1,0.180013092
0,1,1,0.358153846
0,1,1,0.709677419
0,0,2,0.479687859
0,0,2,0.066747573
0,0,2,0.583512545
0,0,2,0.247524752
0,0,2,0.192628072
1,1,1,1.200720072
0,0,2,0.75226978
1,0,1,0.316395014
1,0,1,1.201430274
1,0,1,0.733333333
1,0,1,1
0,0,1,0.116476069
1,0,1,14.83180428
0,0,1,0.1
0,0,1,0.111695844
0,0,1,0.123672705
1,0,1,1
1,1,1,0.584045584
0,0,1,0.235891648
0,0,1,0.384764364
1,0,1,6.466666667
1,0,1,10.38374718
0,0,1,0.5136897
0,0,1,0.216626347
0,0,1,0.872564935
0,0,2,0.138434432
1,0,1,1.287644788
1,0,1,0.653023256
0,0,1,0.5
1,0,1,8.932926829
1,0,1,2.127346338
1,1,1,0.168603909
1,0,1,0.858974359
0,0,1,0.229545455
0,1,1,0.519607843
1,0,1,0.353510896
0,0,1,1.353104727
0,0,1,0.633922261
1,1,1,1.353104727
1,0,1,12.5
0,1,1,0.228203628
0,0,1,0
0,0,1,0.611111111
1,0,1,2.272727273
1,0,1,11.76470588
1,0,1,6.711864407
0,0,1,1.512524085
0,0,1,0.654320988
0,0,2,0.139610015
0,0,1,0.45
1,1,1,3.877906977
1,1,1,2.42
1,0,1,8.326180258
1,0,1,5.253333333
1,0,1,10
1,0,1,1.435334624
1,0,1,11.76470588
0,1,1,1.142857143
0,0,1,0.125
0,0,1,0.863599014
0,0,2,0.240384615
1,0,1,3.844672657
0,0,1,0.363095238
0,0,2,0.817651957
1,0,1,11.76470588
1,1,1,3.787878788
0,0,2,0.934587081
0,0,2,0.32
1,0,1,2.623188406
0,0,1,0.198555957
1,0,1,6.408730159
0,0,1,0.993305439
0,1,1,0.392282958
0,0,1,0.790877322
1,0,1,0.505784634
1,0,1,2.149253731
1,0,1,11.76470588
1,1,1,3.445283019
0,0,1,0.416458853
0,0,2,0.458059211
0,0,1,1.018257261
0,0,1,0.230465861
1,0,1,1.479166667
0,0,2,3.2
1,0,1,0.317418678
1,0,1,1.769736842
0,1,1,0.281329923
0,1,1,1.167420814
0,0,2,0.174281091
0,1,1,0.588709677
0,1,2,0.717829621
0,0,2,1.179569892
0,0,1,0.358698437
1,0,1,7.575757576
1,1,1,7.8125
0,0,1,0.22
0,0,1,3.108695652
0,0,2,0.45990566
1,1,1,5.959409594
1,0,1,1
0,0,2,0.304836743
1,0,1,1
1,0,1,4.378283713
0,0,1,4.897590361
1,0,1,1
0,0,1,0.833333333
1,0,1,1
0,0,1,0.488599349
0,0,2,0.304836743
0,0,1,0.321344007
0,1,1,1.663428849
1,0,1,3.636363636
0,0,1,0
0,0,1,0.927407407
0,0,2,6.214285714
1,1,1,1.910219675
1,1,1,1
1,0,1,7.102272727
1,0,1,1
0,0,1,0.658075601
1,0,1,6.230529595
0,0,1,2.218205718
1,0,1,1
1,0,1,8.810572687
1,0,1,3.636363636
0,0,1,0.222222222
0,0,1,0.851525004
0,0,1,0.696202532
1,0,1,10.61111111
1,0,1,3.475842892
1,0,1,6.25
0,0,1,0.968550593
1,0,1,7.996070727
0,0,1,6.381294964
1,0,1,1.00304414
0,0,1,1.23599502
0,0,1,0.859375
0,1,1,0.868913858
1,0,1,2.514458134
1,0,1,1.023291925
1,1,1,4.358507734
0,0,1,1.375565611
1,0,1,2
0,0,1,0.722353559
0,0,1,1.740278445
1,0,1,2.5
1,0,1,8.309734513
0,0,1,1.318837997
1,0,1,6.25
1,0,1,3.475842892
1,0,1,3.636363636
1,0,1,2.442008667
1,0,1,1
1,0,1,2.425
0,0,1,1.808510638
0,0,1,1.73293928
1,0,1,3.072196621
0,1,1,3.050108932
1,0,1,9.56937799
0,0,1,0.279576221
1,0,1,3.088888889
0,1,1,1.711026616
0,1,1,0.222222222
1,0,1,1
1,0,1,1.428571429
0,0,1,0.298211928
0,0,1,0
0,0,1,0.338114754
0,0,1,1.981818182
1,0,1,1
0,0,1,0.189473684
0,0,1,0.237166649
0,0,1,0
1,0,1,1.923076923
1,0,1,3.072196621
1,0,1,1
0,0,1,1.086572438
1,0,1,1
1,0,1,5.524861878
1,0,1,1
0,0,1,0.11
1,1,1,4.081632653
1,1,1,0.937142857
0,0,1,0.666666667
1,0,1,2.805797101
1,0,1,2.59557945
1,0,1,1
0,0,1,1.907810499
1,0,1,1
0,0,1,0.155555556
1,0,1,3.333333333
1,0,1,9.523809524
0,1,1,1.244274809
0,0,1,1.085621971
0,0,1,2.081927711
0,0,1,0.353828306
0,0,1,0.514511873
1,0,1,2.262068966
1,0,1,1.787953121
0,0,1,0.404411765
0,0,2,0
1,0,1,3.159557662
0,0,1,0.384012539
1,0,1,3.225806452
1,0,1,14.28571429
0,0,1,0.560761347
1,0,1,2.528445006
1,1,1,5.524861878
0,0,1,0.703933747
1,1,1,1.708860759
1,1,1,2.832835821
1,0,1,2.58
0,0,1,1.036363636
1,0,1,2.194683908
1,0,1,11.9041769
0,0,1,0.572116832
0,0,1,0.774240232
0,0,1,0.55922725
1,0,1,1.598704268
1,0,1,1
1,0,1,0.83528624
0,0,1,0
0,0,1,5.362318841
1,0,1,14.28571429
0,0,1,0.465277778
0,0,1,0.220930233
1,0,1,3.112903226
0,0,1,0.331460674
1,0,1,2.853125
1,0,1,2.328571429
0,0,1,0.25779896
0,0,2,1.265432099
1,0,1,2.528445006
0,0,1,0.394339623
0,1,1,1.052631579
0,0,1,0.445819113
0,0,2,0
1,0,1,1.170155663
0,0,1,0.83
1,0,1,0.754716981
1,0,1,1.491104208
1,0,1,4.512820513
1,0,1,14.28571429
1,0,1,1.484375
1,0,1,1
1,0,1,1
0,0,1,1.920712969
0,0,1,0.55922725
0,1,1,0.463414634
0,0,1,0.229411765
0,0,1,0.121681416
1,0,1,1
0,0,1,0
0,0,1,0.365
1,0,1,2.330210773
1,0,1,2.82672112
0,1,1,0.452618311
0,0,1,0.704057279
0,0,1,1.25
1,0,1,0.687234043
0,0,1,7.085561497
1,0,1,0.566685747
0,0,1,0.366520788
0,0,1,1.530054645
1,1,1,2.48015873
0,0,1,0.149186257
0,0,1,0.55922725
0,0,1,1.123038811
1,0,1,7.125
1,1,1,1.611111111
0,0,1,0.323170732
0,0,1,1.90362167
0,0,1,0.31903687
1,0,1,0.738773539
0,1,1,0.3125
1,0,1,3.636363636
1,1,1,1.697619048
1,1,1,5.503355705
1,0,1,2.238154613
0,0,1,1.207309115
0,0,1,0.679012346
1,0,1,2.768647282
1,0,1,2.010204082
1,0,1,0.466390485
1,0,1,1.490421456
0,0,1,0.405063291
0,0,1,0
0,0,1,0.177911275
0,1,1,1.922861934
1,1,1,3.125
1,0,1,1
0,0,1,0.704202232
1,0,1,2.97655768
1,0,1,7.304601899
0,0,1,0.684615385
0,0,1,4.370860927
0,0,1,1.857816182
0,0,2,0.582890451
0,0,1,0.648914746
1,0,1,9.656862745
1,1,1,0.853074434
1,0,1,1
1,0,1,7.112375533
0,0,1,0.261363636
1,0,1,1
1,0,1,0.372678549
1,0,1,2.29178633
1,0,1,1.287985866
0,1,1,0.703933747
1,0,1,1
0,0,1,0.351787774
0,0,1,0.453333333
0,0,1,0.337729173
1,0,1,4.132231405
1,1,1,1
1,1,1,4.812912693
1,0,1,5
1,0,1,1.463271876
0,0,1,1.455555556
0,0,1,0.678733032
0,0,1,0.474137931
0,0,1,0.54
0,1,1,0.563420977
0,0,2,0.637164041
1,0,1,3.071428571
0,0,2,0.740893552
1,0,1,10.47120419
0,0,2,0.950887574
0,0,1,3.958201393
1,0,1,10.72222222
1,0,1,4.87804878
0,0,1,0
1,0,1,8.214285714
1,1,1,1
1,0,1,1.991499696
1,0,1,2.644628099
0,0,1,3.006535948
1,0,1,5
0,0,1,1.272569067
0,0,1,0.884409708
1,1,1,1.33848489
0,0,1,1.71641791
1,1,1,1.235404896
1,0,1,1.103960396
1,1,1,4.750593824
0,0,1,0.549865229
0,1,1,0.517732049
1,0,1,2.348520432
1,0,1,3.333333333
1,0,1,1.877814764
0,0,1,0.511779758
1,0,1,1.793721973
1,0,1,7.007194245
0,0,1,1.270676692
0,0,1,1.280487805
1,0,1,2.147058824
1,1,1,4.660194175
1,0,1,8.863216266
1,1,1,2.250428816
1,0,1,1.037337662
0,0,2,0.958333333
0,1,1,0.192757009
1,0,1,3.333333333
0,0,1,0
1,1,1,1.793721973
1,1,1,2.353808354
1,0,1,5
1,0,1,1.31994874
0,0,3,1.819491119
0,0,1,0.583333333
1,0,1,5
0,0,1,0
0,0,1,1.421446384
0,1,1,0.9375
0,0,1,0.52
1,0,1,4.566020314
0,0,1,0.233532934
0,0,1,1.546623138
0,0,1,2.179548728
1,0,1,4.166666667
1,1,1,3.316666667
1,0,1,0.526100027
1,0,1,7.670648464
0,0,1,1.097560976
1,0,1,8.333333333
0,0,1,1.40567201
0,1,1,0
0,0,1,1.346633416
1,0,1,13.73626374
1,1,1,0.638655462
0,1,1,2.143163309
1,0,1,5.027652086
0,1,1,0.351787774
1,0,1,1.438202247
0,0,1,0.445553377
1,0,1,3.076437145
0,0,1,1.90362167
0,0,1,0.431972354
1,1,1,1.744896179
1,0,1,6.540222368
0,0,2,0.374633881
0,0,1,0.245389649
0,0,1,0.29350348
0,0,1,0.333238798
1,1,1,4.166666667
1,0,1,4.991253644
1,0,1,7.414675768
0,0,1,0.089576547
1,0,1,13.73626374
1,0,1,2.971625767
0,0,1,1.361913785
1,1,1,0.689
1,0,1,0.599194832
1,0,1,11.19453925
0,0,1,1.846785226
1,0,1,8.510638298
0,0,1,0.745461104
1,0,1,1.574632264
1,0,1,6.0625
0,0,1,0.578947368
0,1,1,0.453333333
0,0,1,0.245389649
0,0,1,2.306883868
1,0,1,1
0,0,1,0.916666667
1,0,1,4.761363636
0,1,1,0.381803412
1,0,1,3.133980583
0,0,1,0.55
0,0,2,0.790179115
0,0,1,1.816901408
1,1,1,4.127659574
1,1,1,2.772727273
1,1,1,2.72
1,0,1,1
1,0,1,1.086592179
1,0,1,2.696113074
0,0,1,1.432970156
0,0,1,1.517383618
0,0,1,1.975609756
1,0,1,3.537037037
1,0,1,13.58516484
1,1,1,2.48409894
0,1,1,1.480769231
0,0,2,0.445557963
0,0,2,1.794871795
0,1,1,0.886348792
1,0,1,5.470459519
0,0,1,3.600214938
1,0,1,10.52344602
1,1,1,2.150537634
1,0,1,2.467917078
0,0,1,1.100395648
0,0,1,0.65625
0,1,1,5.57486631
1,0,1,1.696928559
0,0,2,0.239130435
0,1,1,0.583941606
0,0,2,10.71428571
1,0,1,1
1,0,1,5.470459519
1,0,1,5.630769231
0,0,1,2.000551876
1,0,1,2.53164557
0,0,1,0.2
0,0,1,1.003773585
1,0,1,1
0,0,1,1.287234043
1,0,1,13.13186813
0,0,1,0.55
0,0,2,0.327160494
1,0,1,1.828822238
1,0,1,5.470459519
1,0,1,1
0,0,1,0.03514762
1,0,1,0.993357934
1,0,1,4.969230769
1,0,1,1
1,1,1,1.828822238
0,0,2,0.31875
0,0,1,1.569343066
0,0,2,0.342465753
1,0,1,6.1
0,0,2,1.355531686
1,0,1,8.434782609
1,0,1,2.186588921
1,0,2,2.836805556
0,0,1,1.020618557
0,0,1,0.45
1,1,1,5.042424242
1,1,1,0.467254408
0,0,1,2.916331456
1,0,2,1.176785714
0,1,1,0.530769231
1,0,1,4.168842472
0,0,1,0.286073123
1,1,1,2.421893921
0,1,1,1.221052632
1,0,1,1
0,0,1,1.249294184
0,0,1,0.390734022
1,0,1,1.506024096
0,0,1,0.65
1,1,1,4.081632653
1,0,1,1.506024096
1,0,2,0.970260223
0,0,1,0.347386705
0,0,1,0.239130435
1,1,1,3.661662395
0,0,2,0.394757619
1,0,1,2.466091245
1,1,1,2.076732673
0,0,1,3.282275711
0,0,1,0.679012346
0,1,1,3.366336634
1,1,1,4.791566842
1,0,1,0.771538791
0,0,2,0.695711679
1,0,1,1.037795276
1,0,1,6.991666667
0,0,1,0.394757619
0,0,2,0.375738057
1,1,1,1.324182479
0,1,2,0.394757619
1,1,1,1.719128329
0,1,1,0.537940379
1,1,3,1.801477211
0,1,2,1.207843137
0,0,2,0.070612402
1,1,1,1.84501845
1,0,1,2.5
1,0,1,0.95996428
0,1,1,0.698979592
0,0,2,0.90625
0,0,2,0.119221598
1,1,1,4.823529412
1,0,1,1.978630787
0,0,1,0.562372188
0,0,1,1.501668521
1,0,1,8.110367893
1,1,1,6.238303182
1,0,1,6.838390967
1,1,1,1.901864573
1,0,1,2.684563758
1,0,1,2.352941176
0,0,1,0.665137615
0,0,2,0.340540541
1,0,1,1.979591837
1,0,1,1
1,0,1,5
0,0,1,0.105263158
0,0,1,1.283333333
0,0,2,0.496551724
0,0,2,0.105263158
1,0,1,5
1,0,1,2.235701906
0,0,1,1.353846154
1,0,1,1
1,0,1,5
1,0,2,1.397379913
0,1,1,0.698924731
0,0,1,1.077777778
0,1,1,0.62642369
1,0,1,3.887179487
1,0,1,5.040322581
1,1,1,2.341920375
1,0,1,1
0,0,1,0.820895522
0,0,1,0.30077427
0,0,1,0.105263158
0,0,2,1.65
1,0,1,6.666666667
0,0,2,2.407108239
0,0,1,2.2
1,1,1,3.571428571
1,0,1,1
0,0,1,0.647058824
0,0,2,1.363422107
1,0,1,5.040322581
0,0,1,0.54109589
1,0,1,1
1,0,1,5.25210084
1,1,1,2.859574468
1,0,1,3.333333333
0,0,1,0.848648649
0,0,1,1.165227127
1,0,1,6.486666667
0,0,2,3.556034483
0,0,1,0.55
1,1,1,0.857334226
1,0,1,1.929756851
1,0,1,1.76344086
1,1,1,3.091190108
0,0,1,0.816847479
0,0,1,0.612359551
0,0,1,0.618428825
1,1,1,5.25210084
1,0,1,4.054166667
0,0,2,3.556034483
1,0,1,0.941428571
0,0,1,1.270588235
0,0,1,0.732954545
1,0,1,3.443526171
1,0,1,1.684045881
1,0,1,0.979323308
0,0,1,0.909690178
1,0,1,2.884338044
0,0,1,0.686959612
0,0,2,0.16
0,1,1,0.561307902
1,0,1,7.692307692
1,1,1,7.552870091
0,1,1,1.241610738
1,0,1,1.92195122
1,0,1,1.506827309
1,1,1,3.380381087
1,0,1,1.277626987
1,1,1,10.98901099
0,0,1,1.952524239
1,0,1,5.810575247
0,0,1,0.235
1,0,1,1
0,0,1,1.351404828
0,0,1,0.403135498
0,0,2,4.511873351
1,0,1,4.60182025
1,0,1,6.41025641
0,0,1,0.974949221
0,0,1,0.866230678
1,0,1,2.621621622
0,0,1,0.592686003
1,0,1,3.995205753
1,0,1,5.810575247
1,0,1,1
0,0,1,1.454507943
0,0,1,0.453216374
0,0,1,0.235
1,1,1,9.107468124
1,0,1,1
0,0,1,0.62667719
0,0,1,0.366666667
1,0,1,4.761904762
0,0,2,0.555611678
1,0,1,0.976
1,1,1,6.41025641
1,1,1,2.647458549
0,0,1,0.762195122
0,0,2,1.609195402
1,1,1,2.362390739
1,0,1,2.226829268
1,0,1,6.16
0,0,1,0.301136364
1,0,1,5.810575247
0,1,1,1.029687082
1,1,1,1.161818182
1,1,1,2.581032413
1,1,1,0.975288785
1,1,1,1.71556013
1,0,1,4.761904762
0,0,1,0.497076023
0,0,1,1.488095238
0,1,1,0.493299956
0,0,1,2.512621359
1,0,1,2.076190476
1,0,1,1.865671642
0,1,1,1.270588235
0,1,1,0.7
1,0,1,4.761904762
1,0,1,5.686666667
1,1,1,2.716199756
1,1,1,1.979022363
0,0,1,0.342687185
0,0,2,0.85
0,0,2,1.39275766
0,0,1,3.501259446
1,1,1,4.389815628
1,0,1,1.445833333
1,0,1,2
0,0,1,0.368055556
1,0,1,10.59203445
1,0,1,1
0,0,1,3.58056266
0,0,1,0.941176471
1,0,1,9.157509158
1,0,1,1.308333333
0,0,1,0.846805235
0,0,2,0.075503356
1,1,1,14.18439716
1,0,1,7.575757576
0,0,1,0.323529412
1,0,1,8.161888702
0,0,1,0.346534653
1,0,1,2
0,0,1,0.397539754
1,1,1,7.507836991
1,0,1,5.323819978
0,0,2,0.586611456
0,1,1,0.545755237
0,0,1,0.114583333
1,0,1,1.147916667
0,0,1,0.168034388
0,0,2,1.288888889
1,0,1,2.717168763
1,0,1,4.493150685
0,0,1,0.530973451
1,0,1,2.5
1,0,1,3.312220566
0,0,1,0.333333333
1,1,1,1
0,0,2,1.096059113
0,0,1,0.480519481
1,0,1,2.5
1,1,1,1
1,1,1,1.683760684
0,0,1,0.397539754
0,0,1,4.331797235
0,0,1,1.271611824
0,0,2,0.4320887
1,0,1,6.385809313
0,0,1,0.258888889
0,0,1,4.501474926
1,1,1,1.390343223
1,0,1,0.5125
1,0,1,6.008614501
1,0,1,3.296666667
0,0,1,0.222575517
1,0,1,4.849660524
0,1,1,0.4320887
1,0,1,7.142857143
1,0,1,8.333333333
0,0,1,0.135837468
0,0,1,0.398713826
0,0,1,2.038732394
0,0,1,0.976666667
0,0,1,0.174923034
1,0,1,1
1,1,1,2.304195804
0,0,1,0.117021277
1,1,1,1.239575436
1,1,1,1.525581395
0,1,1,1.595652174
1,0,1,8.333333333
1,0,1,3.246666667
0,1,1,0.479964115
0,0,1,0.9
0,1,1,2.290723982
0,0,1,0.266036063
0,0,1,0.253613999
0,0,1,0.25
1,0,1,2.155555556
1,0,1,10.43841336
1,0,1,9.264565425
0,1,1,0.870118306
1,0,1,11.18562874
1,0,1,5.319148936
0,0,1,0.453902715
1,0,1,6.666666667
0,0,1,0.114285714
1,0,1,2.715177844
1,1,1,10.67235859
0,0,1,0.240963855
1,0,1,2.662936142
0,0,1,0.484737325
0,0,2,0.389473684
1,0,1,8.434782609
1,0,1,1
0,0,1,1.011111111
0,0,1,0.80952381
0,0,1,1.859575947
1,1,1,6.901311249
1,1,1,0.876712329
1,0,1,2.633722509
1,1,1,2.857142857
0,0,1,0.424736663
0,0,1,0.983471074
0,0,2,0.816720257
0,1,1,4.32416953
1,0,1,6.872852234
0,0,1,0.649431553
1,0,1,1.94
1,0,1,1.155752212
0,0,1,0.065989848
0,1,1,1.012110727
1,1,1,5.405882353
1,0,1,3.915426782
1,0,1,12.09737828
1,1,1,2.272503689
0,0,1,0.553941155
1,1,1,2.040816327
1,0,1,1
1,0,1,1
0,1,1,0.353391995
0,0,1,0.966666667
1,0,1,1.827956989
1,1,1,4.719211823
0,0,1,0.576411469
1,0,1,4
1,0,1,1.152737752
1,0,1,1
1,0,1,9.294809011
0,1,1,0.412675018
0,0,1,0.341137519
1,1,1,1
0,0,1,0.488801991
1,0,1,7.501875469
1,0,1,1.504876916
0,0,1,0.066740823
1,1,1,1.152737752
1,0,1,5.500550055
0,0,2,0.594769404
0,0,1,0.040838552
1,0,1,6.951672862
1,1,1,7.501875469
1,0,1,3.932853717
1,1,1,1
0,0,1,0
0,0,1,0.695747342
0,0,2,0.132362674
1,0,1,4.627798022
1,1,1,0.801639344
1,0,1,1
1,0,1,6.25
0,0,1,0.544169611
0,0,1,0.78313253
1,0,1,13.79310345
0,0,1,1.108163265
0,0,2,0.130331754
0,0,1,0.47311828
1,0,1,3.179650238
0,0,1,0
1,0,1,8.583690987
0,0,2,0.55
0,0,1,1.854368932
1,0,1,1
0,0,2,1.666666667
1,1,1,3.367003367
1,0,1,1.130612245
1,1,1,2.038216561
1,0,1,13.79310345
0,0,2,0
0,1,1,1.133333333
1,1,1,6.0875
1,0,1,6.169031462
1,0,1,1.648241206
1,1,1,6.25
1,0,1,1
0,0,1,0
0,0,1,0.717391304
0,0,2,1.426999266
1,0,1,1
0,0,1,0.35220454
0,0,1,0.638461538
0,0,1,0.293333333
1,0,1,2.5
0,0,2,0.791204275
0,0,1,0.281452294
1,0,1,8
1,0,1,4.42086649
1,0,1,1.576832151
0,0,1,0.271879855
0,1,1,1.067353699
0,0,1,0.696428571
1,0,1,1
0,0,1,1.106862745
1,0,1,2.030456853
1,1,1,13.79310345
1,1,1,10.82251082
1,0,1,1.677828692
1,1,1,1.62999185
1,1,1,1.464444444
0,0,1,0.55
1,1,1,6.928571429
0,0,2,0.664589823
1,1,1,7.633587786
0,0,1,0.153846154
1,1,1,2.65674814
1,1,1,11.11111111
1,1,1,3.118588428
1,0,1,3.401360544
1,0,1,3.955010225
1,0,1,1.369824951
1,0,1,1.357773252
1,1,1,3.086419753
0,0,1,0.953274536
0,0,1,0.418256323
1,0,1,13.14060447
1,1,1,7.454545455
0,0,1,0.462670873
1,0,1,7.352941176
1,1,1,8
0,0,1,0.405538497
0,0,1,0.61416185
0,0,2,0.7
0,0,1,0.266763672
1,0,1,1.697882023
1,0,1,2.547121752
1,0,1,4.520348837
1,0,1,1.177960735
1,0,1,3.401360544
1,0,1,1.20125092
1,0,1,13.14060447
1,0,1,1.344561404
1,1,1,1.627038043
